code,billing_id,name,company,destination,facility_type
BURWTR,104115,BURNEY WATER DIST,125,arogers@burneywater.org,UNKN
BUTCRK,104128,BUTTE CREEK UTILITIES LLC,126,richard.j.louie@gmail.com,UNKN
BUCOED,104135,BUTTE COUNTY OFFICE OF EDUCATION,127,jsimone@bcoe.org,UNKN
BWCWTR,104142,BUTTONWILLOW COUNTY WATER DIST,128,agcenter@bak.rr.com,UNKN
BWMIRR,104168,BWMR&M ASSOCIATION,129,thatguy1936@sbcglobal.net,UNKN
BYBETH,104220,BYRON BETHANY IRRIGATION DIST,130,wesirr@webtms.usan.org,UNKN
BYRSAN,104352,BYRON SANITARY DIST,131,wesirr@webtms.usan.org,UNKN
CADDES,104709,CADENCE DESIGN SYSTEMS,132,tricaso@cadence.com,C
CAEELC,104724,CAE USA - INC,133,meredithdurant@kennedyjenks.com,UNKN
COCALA,104827,CALAVERAS COUNTY ROAD DEPT,134,dramirez@co.calaveras.ca.us,UNKN
CLVWTR,104906,CALAVERAS COUNTY WATER DISTRICT,135,tiffanyb@ccwd.org,UNKN
CALPUD,104959,CALAVERAS PUD,136,calpud@webtms.usan.org,W
CALTEL,105012,CALAVERAS TELEPHONE COMPANY,137,engineering@caltel.com,UNKN
CADAFU,105038,CALGREN DAIRY FUELS LLC,138,105038@webtms.usan.org,UNKN
CALNVN,105064,CAL NEV PIPE LINE NORTH,139,onecall_liq@kindermorgan.com,UNKN
CALNVS,105064,CALNEV PIPE LINE,139,onecall_liq@kindermorgan.com,UNKN
CABRCO,105400,CALIFORNIA BROADBAND COOPERATIVE,140,cabrco@webtms.usan.org,UNKN
CABRNV,105568,CALIFORNIA BROADBAND COOPERATIVE (NV),141,cabrco@webtms.usan.org,UNKN
CASHPK,105736,CA DEPT PRK/REC - COL. ALLENSWORTH ST HI,142,steven.ptomey@parks.ca.gov,UNKN
CADBFD,105749,CALIFORNIA DEPT WATER RESC BAKERSFIELD,143,DWRSJFDusadig@water.ca.gov,UNKN
CADCOA,105749,CALIFORNIA DEPT WATER RESC AQUEDUCT,143,usa@ccwa.com,UNKN
CADDEL,105749,CALIFORNIA DEPT WATER RESC DELTA,143,usadelta@water.ca.gov,UNKN
CADORO,105749,CALIFORNIA DEPT WTR RESC OROVILLE,143,cadoro@webtms.usan.org,UNKN
CADSLO,105749,CA DEPT WTR RESC SAN LUIS OBISPO,143,bling@water.ca.gov,UNKN
UNISAC,105856,CAL STATE UNIV SAC,144,usa-loc@csus.edu,UNKN
CAMWTR,105908,CALIFORNIA AMERICAN WATER,145,amwatercn@korweb.com,UNKN
CAWS8T,105908,CALIFORNIA AMERICAN WATER,145,amwatercn@korweb.com,UNKN
CAWSA2,105945,CALIFORNIA AMERICAN WATER SACRAMENTO 2,146,amwatercn@korweb.com,UNKN
CAWSA3,105945,CALIFORNIA AMERICAN WATER SACRAMENTO 3,146,amwatercn@korweb.com,UNKN
CAWSA4,105945,CALIFORNIA AMERICAN WATER SACRAMENTO 4,146,amwatercn@korweb.com,UNKN
CAWSAC,105945,CALIFORNIA AMERICAN WATER SACRAMENTO,146,amwatercn@korweb.com,UNKN
CAWSNE,105945,CALIFORNIA AMERICAN WATER-SNE,146,amwatercn@korweb.com,UNKN
CAWSSE,105945,CALIFORNIA AMERICAN WATER-SSE,146,amwatercn@korweb.com,UNKN
CAWSSW,105945,CALIFORNIA AMERICAN WATER-SSW,146,amwatercn@korweb.com,UNKN
CAAMSA,105945,CALIFORNIA AMERICAN WATER - SAC,146,timothy.mullins@amwater.com,UNKN
CCOART,105954,CALIFORNIA COLLEGE OF THE ARTS,147,facilities@cca.edu,UNKN
CATXSB,105958,CALIFORNIA DEPARTMENT OF TOXIC SUBS CTRL,148,gregory.ruiz@dtsc.ca.gov,UNKN
CAPCSD,105963,CALIFORNIA PINES CSD,149,calpinesgm@frontiernet.net,UNKN
CALRES,105964,CALIFORNIA RESOURCES,150,CRCUSANorth@CRC.com,UNKN
CARECO,105965,CALIFORNIA RESOURCES CORPORATION,151,thermal-usanorth@crc.com,UNKN
CREHLC,105966,"CALIF RESOURCES ELK HILLS, LLC",152,eh-digsafe-dl@crc.com,UNKN
CRPSAC,105968,CALIF. RES. PRODUCTION CORP. -  SAC VLY,153,vingas@webtms.usan.org,UNKN
CSUMBA,105977,CALIFORNIA STATE UNIVERSITY MONTEREY BAY,154,csumba@webtms.usan.org,UNKN
CWSATH,105982,CALIF WTR SVC-ATHERTON,155,bgusa@calwater.com,UNKN
CWSBFD,105986,CALIF WTR SVC-BAKERSFLD,156,cwsbfd@webtms.usan.org,UNKN
CWSCHI,105990,CALIF WTR SVC-CHICO,157,ChicoField@calwater.com,UNKN
CWSDIX,105992,CALIF WTR SVC DIXON,158,dixusa@calwater.com,UNKN
CWSLIS,105995,CAL WTR LAKE ISABELLA,159,krvusa@calwater.com,UNKN
CWSLIV,105998,CALIF WTR SVC-LIVERMORE,160,livusa@calwater.com,UNKN
CWSLIVM,105998,CALIF WTR SVC-LIVERMORE,160,livusa@calwater.com,UNKN
CWSLAL,106000,CALIF WTR SVC-LOS ALTOS,161,lasusa@calwater.com,UNKN
CWSLALM,106000,CALIF WTR SVC-LOS ALTOS,161,lasusa@calwater.com,UNKN
CWSMSV,106002,CALIF WTR SVC-MSV,162,mrlusa@calwater.com,UNKN
CWSORO,106004,CALIFORNIA WATER SVC-OROVILLE,163,oroville@calwater.com,UNKN
CWSRVD,106005,CALIFORNIA WATER SERVICE CO - REDWOOD VA,164,rdv-usa@calwater.com,UNKN
CWSRV2,106005,CALIFORNIA WATER SERVICE CO - REDWOOD VA,164,bkoehler@calwater.com,UNKN
CWSSAL,106006,CALIF WTR SVC-SALINAS,165,slnusa@calwater.com,UNKN
CWSSMA,106008,CALIF WTR SVC-SAN MATEO,166,baylocators@calwater.com,UNKN
CWSFNO,106010,CALIF WTR SVC SELMA,167,selusa@calwater.com,UNKN
CWSSTK,106022,CALIF WTR SVC-STOCKTON,168,stkusa@calwater.com,UNKN
CWSVIS,106024,CALIF WTR SVC-VISALIA,169,visusa@calwater.com,UNKN
CWSWIL,106028,CALIF WTR SVC WILLOWS,170,wilusa@calwater.com,UNKN
CWSQUH,106127,CAL WTR QUARTZ HILL,171,avusa@calwater.com,UNKN
CALNV2,106225,CALNEV P/L SAN BERNADINO,172,onecall_liq@kindermorgan.com,UNKN
CALBR2,106231,CALNEVA BROADBAND 2,173,aruiz@calneva.org,UNKN
CALBRO,106231,"CALNEVA BROADBAND, LLC",173,rhelmick@calneva.org,UNKN
CALBND,106234,CALNEVA BROADBAND NEVADA,174,jbrooks@calneva.org,UNKN
CORTEL,106238,CALIFORNIA-OREGON TELEPHONE CO.,175,cablelocate@cot.net,UNKN
CORTE2,106238,CALIFORNIA-OREGON TELEPHONE CO.,175,kristi@cot.net,UNKN
CALWTR,106251,CALLAYOMI COUNTY WATER DIST,176,ccwdhamner@att.net,UNKN
CLPWTR,106277,CALPELLA CO WTR DIST,177,operators@willowcwd.org,UNKN
CCFCLP,106278,CALPINE CONST FINANCE CO L.P.-SUTTER ENE,178,frank.wilson@calpine.com,UNKN
CALGPC,106279,CALPINE-GEYSERS POWER CO,179,guyt@calpine.com,UNKN
CKCPWR,106304,CALPINE KING CITY COGENERATION,180,Christopher.schneider@calpine.com,UNKN
CAMCSD,106330,CAMBRIA CSD,181,CCSDUSA@cambriacsd.org,UNKN
CMEWTR,106343,CAMP MEEKER R & P WTR,182,rruwater@sonic.net,UNKN
CAMGAS,106356,CAMPORA PROPANE SERVICES,183,mprice@campora.com,UNKN
CANWTR,106370,CANADA WOODS WATER RECLAMATION CO,184,CarmelLahaina@aol.com,UNKN
CCRCSA,106383,CANTUA CREEK CSA#32,185,specialdistricts@co.fresno.ca.us,UNKN
CANYON,106396,CANYON GENERAL IMPROVEMENT DIST,186,canyongid@att.net,UNKN
CARMHP,106462,CAREFREE MOBILE HOME PARK,188,carefree@kmcmh.com,UNKN
CMLWTR,106488,CARMEL AREA WASTEWTR,189,LAUER@CAWD.ORG,UNKN
CRIWTR,106514,CARMEL RIVIERA MUT WT,190,CarmelLahaina@aol.com,UNKN
CARIRR,106541,CARMICHAEL WATER DIST,191,usa@carmichaelwd.org,UNKN
CTYCA1,106752,CARSON CITY TRANSPORTATION,192,ctyca1@webtms.usan.org,UNKN
CTYCA2,106752,CARSON CITY SWR/STORMDRN,192,ctyca2@webtms.usan.org,UNKN
CTYCA4,106752,CARSON CITY WATER,192,ctyca4@webtms.usan.org,UNKN
CTYCA5,106752,CARSON CITY WASTEWATER,192,ctyca5@webtms.usan.org,UNKN
CTYCA6,106752,CARSON CITY FACILITY MGT,192,ctyca6@webtms.usan.org,UNKN
CARCSD,106804,CARUTHERS CSD,193,carutherscsd@sbcglobal.net,UNKN
CASWTR,106857,CASA LOMA WATER COMPANY INC,194,casalomawater@gmail.com,UNKN
CASPAR,106870,CASPAR SOUTH SERVICES COMPANY,195,caspar@webtms.usan.org,UNKN
CTEWTR,106883,CASTELLA CSA#3 WTR,196,shastacsas@att.net,UNKN
CASAIR,106886,CASTLE AIRPORT AVIATION AND DEV. CENTER,197,smalta@co.merced.ca.us,UNKN
CASCWD,106891,CASTLE ROCK COUNTY WATER DISTRICT,198,rich@richardhoag.com,W
CASSAN,106897,CASTRO VALLEY SANITARY DISTRICT,199,usa@cvsan.org,UNKN
CSTCSD,106936,CASTROVILLE CSD,200,106936@webtms.usan.org,UNKN
CAWELO,106963,CAWELO WATER DISTRICT,201,cawelo@webtms.usan.org,I
CYUBEA,106989,CAYUCOS BEACH MUTUAL WATER COMPANY,202,cayucoswater@yahoo.com,UNKN
CYUBEAM,106989,CAYUCOS BEACH MUTUAL WATER COMPANY,202,cayucoswaterco@sbcglobal.net,UNKN
CAYSAN,107016,CAYUCOS SANITARY DIST,203,jcollins@cayucossd.org,UNKN
CCCOMM,107030,C C COMMUNICATIONS,204,usa@cccomm.net,UNKN
CEBCON,107050,CEBRIDGE CONNECTIONS,205,robert.hager@suddenlink.com,UNKN
CEDFLT,107059,CEDAR FLAT IMPROVEMENT ASSOCIATON,206,eric@camcotruckee.com,UNKN
CNTCSD,107069,CENTERVILLE CSD,207,cntcsd@webtms.usan.org,UNKN
CENINT,107095,CENTRACOM INTERACTIVE,208,usan_tickets@irth.com,UNKN
CENIT2,107108,CENTRACOM INTERACTIVE 2,209,f.soriano@cut.net,UNKN
CTLWTR,107122,CENTRAL COAST WATER,210,usa@ccwa.com,UNKN
CENTRL,107174,CENTRAL SANITARY,211,centralsandigtickets@gmail.com,UNKN
CMASAN,107260,CENTRAL MARIN SANI,212,usa@centralmarinsa.org,UNKN
CENTE2,107281,CENTURYLINK,213,Cl_usan_tickets@irth.com,UNKN
CVGSTO,107287,"CENTRAL VALLEY GAS STORAGE, LLC",214,dchappel@southernco.com,UNKN
CENWTR,107289,CENTRAL WATER DIST,215,CENWTR@webtms.usan.org,UNKN
CENGEM,107544,CENTURY TEL OF THE GEM STATE-NEVADA,216,Cl_usan_tickets@irth.com,C
CEPHEI,107608,CEPHEID,217,stephen.dahl@cepheid.com,UNKN
CH2MHL,107672,"CH2M HILL CONSTRUCTORS, INC.",218,ch2mhl@webtms.usan.org,UNKN
CH2MHLN,107672,"CH2M HILL CONSTRUCTORS, INC.",218,dchern@ch2m.com,UNKN
CHACAA,107800,CHARTER COMMUNICATIONS 2,219,inbox@elmtickets.com,UNKN
CHACAR,107800,CHARTER COMMUNICATIONS CARSON,219,inbox@elmtickets.com,UNKN
CHAFAL,107800,CHARTER COMMUNICATIONS-FALLON,219,inbox@elmtickets.com,UNKN
CHAKBE,107800,CHARTER COMMUNICATIONS-KINGSBEACH,219,inbox@elmtickets.com,UNKN
CHARNO,107800,CHARTER COMMUNICATIONS-RENO,219,doug.kyler@charter.com,UNKN
CHASLT,107800,CHARTER COMMUNICATIONS - SLT,219,shawn.miller@charter.com,UNKN
CHASOT,107800,CHARTER COMM-S. L.TAHOE,219,inbox@elmtickets.com,UNKN
CHAFALM,107800,CHARTER COMMUNICATIONS-FALLON,219,inbox@elmtickets.com,UNKN
CHARNOA,107800,CHARTER COMMUNICATIONS-RENO,219,inbox@elmtickets.com,UNKN
CHARNOM,107800,CHARTER COMM-RENO,219,doug.kyler@charter.com,UNKN
CHACRE,107811,CHARTER COMMUNICATIONS -CRESCENT CITY,220,emailtkts.lca1@tickets.utiliquest.com,UNKN
CHAGIL,107812,CHARTER COMMUNICATIONS 2,221,emailtkts.nca1@qmanager.utiliquest.com,UNKN
CHAGILA,107812,CHARTER COMMUNICATIONS 2,221,anthony.ramirez@chartercom.com,UNKN
CHAGILM,107812,CHARTER COMMUNICATIONS 2,221,emailtkts.nca0@tickets.utiliquest.com,UNKN
CHASLO,107814,CHARTER COMMUNICATIONS SLO,222,emailtkts.nca1@qmanager.utiliquest.com,UNKN
CHAROS,107824,CHARTER COMMUNICATIONS - ROSAMOND,223,emailtkts.nca1@qmanager.utiliquest.com,UNKN
CHARTU,107834,CHARTER COMMUNICATIONS - TULARE,224,emailtkts.nca1@qmanager.utiliquest.com,UNKN
CHATVR,107860,CHARTER COMM - TURLOCK,225,emailtkts.nca1@qmanager.utiliquest.com,UNKN
CHESTR,108018,CHESTER PUD,226,cpud@frontiernet.net,UNKN
CHEVCY,108044,CHEVRON CYMRIC,227,CHEVSJ@webtms.usan.org,UNKN
CHEVC2,108044,CHEVRON CYMRIC 2,227,CHEVSJ@webtms.usan.org,UNKN
CHEVMC,108070,CHEVRON ENVIRONMENTAL MANAGEMENT COMPANY,228,chevmc@webtms.usan.org,UNKN
CHVMID,108096,CHEVRON MIDWAY SUNSET,229,CHEVSJ@webtms.usan.org,UNKN
CHEVNA,108123,"CHEVRON NORTH AMERICA, EXPLORATION & PRO",230,CHEVSJ@webtms.usan.org,UNKN
CHEVNP,108149,CHEV NOR AMER & PRO COALINGA,231,CHEVSJ@webtms.usan.org,UNKN
CHEVSJ,108176,CHEVRON PIPE-L SAN JOAQUIN,232,usan_tickets@irth.com,UNKN
CHEVCO,108229,CHEVRON  COALINGA,233,StevenHolland@chevron.com,UNKN
CHEVLH,108229,CHEVRON LOST HILLS,233,lsag@chevron.com,UNKN
CHEVPT,108229,CHEVRON  PITTSBURG,233,usan_tickets@irth.com,UNKN
CHCCAL,108281,CHILDREN HOSPITAL CENTRAL CALIFORNIA,234,PVang15@valleychildrens.org,C
CHOWTR,108334,CHOWCHILLA WATER DIST,235,kmitchell@cwdwater.com,UNKN
CVPCSD,108360,CHRISTIAN VALLEY PARK CSD,236,hlabudde@yahoo.com,UNKN
CHUKCH,108379,"CHUK CHANSI, SA-14",237,sdistricts@madera-county.com,UNKN
COKWTR,108546,CIRCLE OAKS CO WTR DIS,238,pdq9251@gmail.com,UNKN
CITWTR,108828,CITRUS HEIGHTS WTR DIST,239,jspinella@chwd.org,UNKN
CTYSF3,109284,CITY SAN FRANCISCO PW,240,usa.sewer@sfdpw.org,UNKN
CTYSF4,109442,CITY SFO HEAT/PWR/LIGHT,241,blhp@sfwater.org,UNKN
CTYSF2,109495,CITY SAN FRANCISCO WTR,242,usan_tickets@irth.com,UNKN
CTYSF2A,109495,CITY SAN FRANCISCO WTR,242,CDDUNC@sfwater.org,UNKN
CTYSFT,109495,CITY SAN FRANCISCO WTR - TEST,242,usan_tickets@irth.com,UNKN
CTYSFO,109600,CITY SAN FRAN PRKG & TRF,243,UndergroundServiceAlert@sfmta.com,UNKN
